CD_CLIENTE;SEGMENTO;FAIXA_FATURAMENTO;MARCA_TOTVS;MODALIDADE_COMERCIALIZADA;REGIAO;RESPOSTA_NPS_RELACIONAL;Tempo_Relacionamento_media;RECEITA_RECORRENTE_media;QTDE_TICKETS_media;UF;UF_AJUSTADA
TDCEDL;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;3761;;;SP;SP
TDCCLD;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;3921;;;SP;SP
TDCDZH;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;1591;;;SP;SP
TDCC8T;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;529;;;SP;SP
TDCD17;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;603;;;SP;SP
TDCEP1;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;1991;;;SP;SP
TDCE5E;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;2586;;;SP;SP
TDCD2F;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;583;;;RJ;RJ
TDCG7I;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;764,5;;;RJ;RJ
TDCFYJ;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;4004;;;SP;SP
TDCGCF;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;4151;;;SP;SP
TDCCKD;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;564;;;ES;ES
TDCEB8;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;508;;;SP;SP
TDCCNU;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;1996;;;MG;MG
TDCGLW;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;1314;;;RJ;RJ
TDCECD;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;931;;;SP;SP
TDCE7W;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;1275;;;SP;SP
TDCGMM;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;708;;;RJ;RJ
TDCEA2;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;1401;;;SP;SP
TDCEJL;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;1646;;;SP;SP
TDCEDN;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;1312;;;SP;SP
TDCGWE;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;548;;;SP;SP
TDCEJT;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;1681;;;SP;SP
TDCGXD;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;1338;;;SP;SP
TDCGOG;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;1752;;;SP;SP
TDCF0V;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;1211;;;RJ;RJ
TDCH0U;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;;1057;;;RJ;RJ
